temperature_K,pressure_Pa,equivalence_ratio,mean_molecular_weight_kg_per_kmol,density_kg_per_m3,enthalpy_J_per_kg,entropy_J_per_kg_K,cp_frozen_J_per_kg_K,cp_equilibrium_J_per_kg_K,cv_frozen_J_per_kg_K,cv_equilibrium_J_per_kg_K,isentropic_exponent,mole_fraction_H2O,mole_fraction_N2,mole_fraction_O2,mole_fraction_OH,mole_fraction_H,mole_fraction_O,mole_fraction_H2
600,100000,0.2,27.849906,0.55825912,-374214.5,7914.9744,1110.5928,1110.5928,812.04563,812.04563,1.3676482,8.064516e-02,7.580645e-01,1.612903e-01,3.328806e-13,1.003114e-26,1.080633e-19,4.706367e-20
600,100000,0.4,26.926722,0.53975364,-1051311.3,8184.1908,1162.5282,1162.5282,853.7454,853.7454,1.3616802,1.550388e-01,7.286822e-01,1.162791e-01,4.252975e-13,1.509412e-26,9.175393e-20,1.065617e-19
600,100000,0.6,26.072433,0.52262917,-1720594.4,8434.2658,1213.8644,1213.8644,894.96395,894.96395,1.3563277,2.238806e-01,7.014925e-01,7.462686e-02,4.574349e-13,2.026505e-26,7.350579e-20,1.920793e-19
600,100000,0.8,25.279603,0.50673667,-2382198.2,8667.6822,1264.6115,1264.6115,935.70958,935.70958,1.3515,2.877698e-01,6.762590e-01,3.597122e-02,4.321243e-13,2.757382e-26,5.103305e-20,3.556143e-19
600,100000,1,24.54183,0.49194782,-3036254,8876.6149,1314.7804,1314.7804,975.99112,975.99112,1.3471234,3.472220e-01,6.527774e-01,5.800501e-07,3.007926e-14,4.779695e-25,2.049305e-22,1.068528e-16
600,500000,0.2,27.849906,2.7912956,-374214.5,7434.4814,1110.5928,1110.5928,812.04563,812.04563,1.3676482,8.064516e-02,7.580645e-01,1.612903e-01,2.226107e-13,3.000010e-27,4.832736e-20,2.104751e-20
600,500000,0.4,26.926722,2.6987682,-1051311.3,7687.224,1162.5282,1162.5282,853.7454,853.7454,1.3616802,1.550388e-01,7.286822e-01,1.162791e-01,2.844136e-13,4.514196e-27,4.103361e-20,4.765584e-20
600,500000,0.6,26.072433,2.6131459,-1720594.4,7921.0154,1213.8644,1213.8644,894.96395,894.96395,1.3563277,2.238806e-01,7.014925e-01,7.462686e-02,3.059052e-13,6.060662e-27,3.287279e-20,8.590046e-20
600,500000,0.8,25.279603,2.5336834,-2382198.2,8138.335,1264.6115,1264.6115,935.70958,935.70958,1.3515,2.877698e-01,6.762590e-01,3.597122e-02,2.889789e-13,8.246496e-27,2.282267e-20,1.590356e-19
600,500000,1,24.54183,2.4597391,-3036254,8331.3542,1314.7804,1314.7804,975.99112,975.99112,1.3471234,3.472220e-01,6.527774e-01,5.800501e-07,2.011522e-14,1.429462e-25,9.164770e-23,4.778604e-17
600,2e+06,0.2,27.849906,11.165182,-374214.5,7020.6071,1110.5928,1110.5928,812.04563,812.04563,1.3676482,8.064516e-02,7.580645e-01,1.612903e-01,1.574095e-13,1.060664e-27,2.416368e-20,1.052376e-20
600,2e+06,0.4,26.926722,10.795073,-1051311.3,7259.1601,1162.5282,1162.5282,853.7454,853.7454,1.3616802,1.550388e-01,7.286822e-01,1.162791e-01,2.011108e-13,1.596009e-27,2.051680e-20,2.382792e-20
600,2e+06,0.6,26.072433,10.452583,-1720594.4,7478.9255,1213.8644,1213.8644,894.96395,894.96395,1.3563277,2.238806e-01,7.014925e-01,7.462686e-02,2.163076e-13,2.142768e-27,1.643639e-20,4.295023e-20
600,2e+06,0.8,25.279603,10.134733,-2382198.2,7682.3801,1264.6115,1264.6115,935.70958,935.70958,1.3515,2.877698e-01,6.762590e-01,3.597122e-02,2.043389e-13,2.915577e-27,1.141134e-20,7.951778e-20
